"rules","support","confidence","lift","count"
"{hard cheese} => {whole milk}",0.0100660904931368,0.410788381742739,1.6076815497174,99
"{butter milk} => {other vegetables}",0.0103711235383833,0.370909090909091,1.9169158744566,102
"{butter milk} => {whole milk}",0.0115912557193696,0.414545454545455,1.62238541402887,114
"{ham} => {whole milk}",0.0114895780376207,0.44140625,1.72750913997214,113
"{sliced cheese} => {whole milk}",0.0107778342653787,0.439834024896266,1.72135600272772,106
"{oil} => {whole milk}",0.011286222674123,0.402173913043478,1.57396754269105,111
"{onions} => {other vegetables}",0.0142348754448399,0.459016393442623,2.37226811850142,140
"{onions} => {whole milk}",0.0120996441281139,0.390163934426229,1.52696470158455,119
"{berries} => {whole milk}",0.0117946110828673,0.35474006116208,1.38832809452012,116
"{hamburger meat} => {other vegetables}",0.0138281647178444,0.415902140672783,2.14944695402881,136
"{hamburger meat} => {whole milk}",0.0147432638535841,0.443425076452599,1.73541011815015,145
"{hygiene articles} => {whole milk}",0.0128113879003559,0.388888888888889,1.52197462086041,126
"{sugar} => {whole milk}",0.0150482968988307,0.444444444444444,1.73939956669762,148
"{long life bakery product} => {whole milk}",0.0135231316725979,0.361413043478261,1.41444380525615,133
"{dessert} => {whole milk}",0.0137264870360956,0.36986301369863,1.44751402297096,135
"{cream cheese } => {whole milk}",0.0164717844433147,0.415384615384615,1.62566959502893,162
"{chicken} => {other vegetables}",0.0178952719877987,0.417061611374408,2.15543927896337,176
"{chicken} => {whole milk}",0.0175902389425521,0.409952606635071,1.6044106192821,173
"{white bread} => {whole milk}",0.0170818505338078,0.405797101449275,1.58814743046304,168
"{frozen vegetables} => {other vegetables}",0.0177935943060498,0.369978858350951,1.91210828790416,175
"{frozen vegetables} => {whole milk}",0.0204372140315201,0.424947145877378,1.66309398316913,201
"{beef} => {other vegetables}",0.0197254702592781,0.375968992248062,1.94306623161308,194
"{beef} => {whole milk}",0.0212506354855109,0.405038759689922,1.58517954697588,209
"{curd} => {whole milk}",0.026131164209456,0.490458015267176,1.91948053328797,257
"{napkins} => {whole milk}",0.0197254702592781,0.376699029126214,1.47426778808448,194
"{pork} => {other vegetables}",0.0216573462125064,0.375661375661376,1.94147642124521,213
"{pork} => {whole milk}",0.0221657346212506,0.384479717813051,1.5047186727781,218
"{brown bread} => {whole milk}",0.0252160650737163,0.38871473354232,1.5212930379581,248
"{margarine} => {whole milk}",0.0241992882562278,0.413194444444444,1.61709803466419,238
"{butter} => {other vegetables}",0.0200305033045247,0.361467889908257,1.86812227916327,197
"{butter} => {whole milk}",0.02755465175394,0.497247706422018,1.94605300145665,271
"{domestic eggs} => {other vegetables}",0.0222674123029995,0.350961538461538,1.81382382068798,219
"{domestic eggs} => {whole milk}",0.0299949161159126,0.47275641025641,1.85020266409542,295
"{fruit/vegetable juice} => {whole milk}",0.0266395526182003,0.368495077355837,1.44216040023663,262
"{whipped/sour cream} => {other vegetables}",0.0288764616166751,0.402836879432624,2.08192365171827,284
"{whipped/sour cream} => {whole milk}",0.0322318251143874,0.449645390070922,1.75975424247812,317
"{pip fruit} => {whole milk}",0.0300965937976614,0.397849462365591,1.55704316051158,296
"{pastry} => {whole milk}",0.033248601931876,0.373714285714286,1.46258654994031,327
"{citrus fruit} => {whole milk}",0.0305033045246568,0.368550368550369,1.44237679056621,300
"{tropical fruit} => {whole milk}",0.0422979156075241,0.403100775193798,1.57759495584202,416
"{root vegetables} => {other vegetables}",0.047381799694967,0.434701492537313,2.2466049285888,466
"{root vegetables} => {whole milk}",0.0489069649211998,0.448694029850746,1.75603095247994,481
"{yogurt} => {whole milk}",0.0560244026436197,0.401603498542274,1.57173514053453,551
"{other vegetables} => {whole milk}",0.0748347737671581,0.386757750919601,1.51363409482462,736
"{curd,yogurt} => {whole milk}",0.0100660904931368,0.582352941176471,2.27912502048173,99
"{whole milk,curd} => {yogurt}",0.0100660904931368,0.385214007782101,2.76135551496863,99
"{pork,other vegetables} => {whole milk}",0.0101677681748856,0.469483568075117,1.8373939084834,100
"{pork,whole milk} => {other vegetables}",0.0101677681748856,0.458715596330275,2.37071355223766,100
"{other vegetables,butter} => {whole milk}",0.0114895780376207,0.573604060913706,2.24488497377091,113
"{whole milk,butter} => {other vegetables}",0.0114895780376207,0.416974169741697,2.15498736700452,113
"{other vegetables,domestic eggs} => {whole milk}",0.0123029994916116,0.552511415525114,2.16233576270971,121
"{whole milk,domestic eggs} => {other vegetables}",0.0123029994916116,0.410169491525424,2.11981973155677,121
"{other vegetables,fruit/vegetable juice} => {whole milk}",0.0104728012201322,0.497584541062802,1.94737125402016,103
"{whole milk,fruit/vegetable juice} => {other vegetables}",0.0104728012201322,0.393129770992366,2.03175580541772,103
"{yogurt,whipped/sour cream} => {other vegetables}",0.0101677681748856,0.490196078431373,2.5334095803324,100
"{other vegetables,whipped/sour cream} => {yogurt}",0.0101677681748856,0.352112676056338,2.52407300948548,100
"{yogurt,whipped/sour cream} => {whole milk}",0.0108795119471276,0.524509803921569,2.05274728275711,107
"{other vegetables,whipped/sour cream} => {whole milk}",0.0146415861718353,0.507042253521127,1.98438542116207,144
"{whole milk,whipped/sour cream} => {other vegetables}",0.0146415861718353,0.454258675078864,2.34767948996355,144
"{pip fruit,other vegetables} => {whole milk}",0.0135231316725979,0.517509727626459,2.02535144098935,133
"{pip fruit,whole milk} => {other vegetables}",0.0135231316725979,0.449324324324324,2.32217799775603,133
"{other vegetables,pastry} => {whole milk}",0.010574478901881,0.468468468468468,1.83342116489749,104
"{citrus fruit,root vegetables} => {other vegetables}",0.0103711235383833,0.586206896551724,3.02960842227336,102
"{citrus fruit,other vegetables} => {root vegetables}",0.0103711235383833,0.359154929577465,3.2950454593231,102
"{citrus fruit,yogurt} => {whole milk}",0.0102694458566345,0.474178403755869,1.85576784756823,101
"{citrus fruit,other vegetables} => {whole milk}",0.0130147432638536,0.450704225352113,1.76389815214406,128
"{citrus fruit,whole milk} => {other vegetables}",0.0130147432638536,0.426666666666667,2.20507969872132,128
"{sausage,other vegetables} => {whole milk}",0.0101677681748856,0.377358490566038,1.47684868870552,100
"{other vegetables,bottled water} => {whole milk}",0.0107778342653787,0.434426229508197,1.70019178957943,106
"{tropical fruit,root vegetables} => {other vegetables}",0.0123029994916116,0.584541062801932,3.0209991343442,121
"{tropical fruit,root vegetables} => {whole milk}",0.011997966446365,0.570048309178744,2.23096900945999,118
"{tropical fruit,yogurt} => {other vegetables}",0.0123029994916116,0.420138888888889,2.17134312780989,121
"{tropical fruit,yogurt} => {whole milk}",0.0151499745805796,0.517361111111111,2.02476980810894,149
"{tropical fruit,whole milk} => {yogurt}",0.0151499745805796,0.358173076923077,2.56751618916797,149
"{tropical fruit,rolls/buns} => {whole milk}",0.0109811896288765,0.446280991735537,1.7465871682129,108
"{tropical fruit,other vegetables} => {whole milk}",0.0170818505338078,0.475920679886686,1.86258650484901,168
"{tropical fruit,whole milk} => {other vegetables}",0.0170818505338078,0.403846153846154,2.08713973887384,168
"{root vegetables,yogurt} => {other vegetables}",0.0129130655821047,0.5,2.58407777193904,127
"{root vegetables,yogurt} => {whole milk}",0.0145399084900864,0.562992125984252,2.20335358498015,143
"{root vegetables,rolls/buns} => {other vegetables}",0.0122013218098627,0.502092050209205,2.59488981282582,120
"{root vegetables,rolls/buns} => {whole milk}",0.012709710218607,0.523012552301255,2.04688756541299,125
"{root vegetables,other vegetables} => {whole milk}",0.0231825114387392,0.489270386266094,1.91483257020575,228
"{root vegetables,whole milk} => {other vegetables}",0.0231825114387392,0.474012474012474,2.44977019543494,228
"{yogurt,soda} => {whole milk}",0.0104728012201322,0.382899628252788,1.49853475681105,103
"{other vegetables,soda} => {whole milk}",0.0139298423995933,0.425465838509317,1.66512396408242,137
"{yogurt,rolls/buns} => {whole milk}",0.015556685307575,0.452662721893491,1.77156302022383,153
"{other vegetables,yogurt} => {whole milk}",0.0222674123029995,0.51288056206089,2.00723451168677,219
"{whole milk,yogurt} => {other vegetables}",0.0222674123029995,0.397459165154265,2.05413078785717,219
"{other vegetables,rolls/buns} => {whole milk}",0.0178952719877987,0.420047732696897,1.64391939955192,176
